id_email;date_test;vrai_label;prediction;score_confiance;categorie_phishing;longueur_texte;nb_liens
MAIL-5744;2025-09-30;légitime;phishing;0.565;N/A;279;2
MAIL-5745;2025-09-02;légitime;légitime;0.782;N/A;589;2
MAIL-5746;2025-09-25;légitime;légitime;0.955;N/A;1154;0
MAIL-5747;2025-09-18;phishing;phishing;0.833;Usurpation fournisseur;699;4
MAIL-5748;2025-09-21;légitime;légitime;0.942;N/A;284;1
MAIL-5749;2025-09-21;légitime;légitime;0.798;N/A;758;0
MAIL-5750;2025-09-27;légitime;légitime;0.816;N/A;1172;0
MAIL-5751;2025-09-02;phishing;légitime;0.599;Fausse facture;302;2
MAIL-5752;2025-09-18;phishing;phishing;0.854;Faux support technique;758;1
MAIL-5753;2025-09-10;légitime;légitime;0.957;N/A;827;1
MAIL-5754;2025-09-20;phishing;phishing;0.881;Usurpation fournisseur;929;1
MAIL-5755;2025-09-07;phishing;légitime;0.775;Fausse livraison colis;1068;1
MAIL-5756;2025-09-21;légitime;légitime;0.914;N/A;1192;2
MAIL-5757;2025-09-08;phishing;phishing;0.986;Fausse livraison colis;704;3
MAIL-5758;2025-09-26;phishing;légitime;0.78;Fausse facture;586;3
MAIL-5759;2025-09-13;phishing;phishing;0.83;Fausse facture;684;6
MAIL-5760;2025-09-05;légitime;légitime;0.834;N/A;174;2
MAIL-5761;2025-09-30;légitime;phishing;0.624;N/A;1171;2
MAIL-5762;2025-09-13;légitime;légitime;0.833;N/A;809;2
MAIL-5763;2025-09-09;légitime;légitime;0.855;N/A;1006;0
MAIL-5764;2025-09-13;phishing;phishing;0.872;Phishing RH/paie;1029;6
MAIL-5765;2025-09-21;légitime;légitime;0.804;N/A;234;2
MAIL-5766;2025-09-03;légitime;légitime;0.959;N/A;773;2
MAIL-5767;2025-09-25;phishing;phishing;0.948;Phishing RH/paie;244;2
MAIL-5768;2025-09-13;phishing;phishing;0.942;Fausse livraison colis;683;1
MAIL-5769;2025-09-27;légitime;légitime;0.83;N/A;749;0
MAIL-5770;2025-09-16;phishing;phishing;0.817;Phishing RH/paie;213;5
MAIL-5771;2025-09-18;légitime;légitime;0.903;N/A;630;1
MAIL-5772;2025-09-25;phishing;phishing;0.867;Usurpation bancaire;1188;6
MAIL-5773;2025-09-26;légitime;légitime;0.975;N/A;568;1
MAIL-5774;2025-09-25;phishing;phishing;0.899;Fausse livraison colis;1067;2
MAIL-5775;2025-09-18;légitime;légitime;0.85;N/A;955;1
MAIL-5776;2025-09-28;phishing;phishing;0.972;Usurpation fournisseur;1033;2
MAIL-5777;2025-09-06;légitime;légitime;0.821;N/A;276;1
MAIL-5778;2025-09-02;légitime;légitime;0.895;N/A;252;2
MAIL-5779;2025-09-05;phishing;phishing;0.905;Usurpation bancaire;664;0
MAIL-5780;2025-09-12;légitime;légitime;0.939;N/A;596;0
MAIL-5781;2025-09-26;légitime;légitime;0.828;N/A;870;1
MAIL-5782;2025-09-15;légitime;légitime;0.783;N/A;939;0
MAIL-5783;2025-09-20;phishing;phishing;0.891;Fausse facture;426;1
MAIL-5784;2025-09-29;légitime;légitime;0.853;N/A;902;0
MAIL-5785;2025-09-05;légitime;légitime;0.806;N/A;788;1
MAIL-5786;2025-09-27;phishing;phishing;0.86;Fausse livraison colis;718;4
MAIL-5787;2025-09-20;phishing;phishing;0.879;Fausse facture;868;1
MAIL-5788;2025-09-06;phishing;phishing;0.926;Usurpation bancaire;492;3
MAIL-5789;2025-09-16;légitime;légitime;0.989;N/A;279;1
MAIL-5790;2025-09-28;légitime;légitime;0.832;N/A;748;2
MAIL-5791;2025-09-21;légitime;légitime;0.798;N/A;633;2
MAIL-5792;2025-09-18;légitime;légitime;0.983;N/A;83;1
MAIL-5793;2025-09-05;phishing;phishing;0.902;Phishing RH/paie;767;6
MAIL-5794;2025-09-27;légitime;légitime;0.932;N/A;87;0
MAIL-5795;2025-09-22;phishing;phishing;0.824;Phishing RH/paie;657;0
MAIL-5796;2025-09-29;légitime;légitime;0.87;N/A;1116;2
MAIL-5797;2025-09-21;légitime;légitime;0.975;N/A;230;2
MAIL-5798;2025-09-08;légitime;légitime;0.814;N/A;1085;2
MAIL-5799;2025-09-05;phishing;phishing;0.895;Fausse facture;1094;1
MAIL-5800;2025-09-21;légitime;légitime;0.796;N/A;316;0
MAIL-5801;2025-09-24;légitime;légitime;0.85;N/A;242;1
MAIL-5802;2025-09-22;phishing;phishing;0.944;Faux support technique;700;3
MAIL-5803;2025-09-30;phishing;phishing;0.814;Fausse livraison colis;613;6
MAIL-5804;2025-09-19;phishing;phishing;0.827;Fausse livraison colis;772;0
MAIL-5805;2025-09-01;phishing;phishing;0.85;Phishing RH/paie;591;6
MAIL-5806;2025-09-30;phishing;phishing;0.917;Usurpation fournisseur;123;5
MAIL-5807;2025-09-03;légitime;légitime;0.895;N/A;387;2
MAIL-5808;2025-09-06;légitime;légitime;0.848;N/A;1073;1
MAIL-5809;2025-09-21;légitime;légitime;0.915;N/A;256;0
MAIL-5810;2025-09-28;légitime;légitime;0.828;N/A;464;1
MAIL-5811;2025-09-28;légitime;légitime;0.935;N/A;646;1
MAIL-5812;2025-09-12;phishing;légitime;0.698;Usurpation bancaire;297;5
MAIL-5813;2025-09-04;légitime;légitime;0.844;N/A;213;1
MAIL-5814;2025-09-30;légitime;légitime;0.96;N/A;498;2
MAIL-5815;2025-09-07;phishing;phishing;0.919;Fausse facture;160;3
MAIL-5816;2025-09-10;légitime;légitime;0.821;N/A;875;2
MAIL-5817;2025-09-07;légitime;légitime;0.99;N/A;529;2
MAIL-5818;2025-09-10;légitime;légitime;0.914;N/A;364;1
MAIL-5819;2025-09-12;phishing;phishing;0.848;Phishing RH/paie;1164;3
MAIL-5820;2025-09-21;légitime;légitime;0.792;N/A;969;0
MAIL-5821;2025-09-07;légitime;légitime;0.974;N/A;768;1
MAIL-5822;2025-09-01;légitime;légitime;0.949;N/A;333;0
MAIL-5823;2025-09-14;légitime;légitime;0.961;N/A;254;0
MAIL-5824;2025-09-28;phishing;phishing;0.931;Fausse facture;1180;4
MAIL-5825;2025-09-12;légitime;légitime;0.827;N/A;299;0
MAIL-5826;2025-09-24;légitime;légitime;0.941;N/A;253;1
MAIL-5827;2025-09-09;légitime;légitime;0.94;N/A;854;1
MAIL-5828;2025-09-24;légitime;légitime;0.888;N/A;797;0
MAIL-5829;2025-09-02;phishing;phishing;0.852;Faux support technique;813;6
MAIL-5830;2025-09-22;phishing;phishing;0.965;Phishing RH/paie;1017;1
MAIL-5831;2025-09-25;légitime;légitime;0.954;N/A;758;2
MAIL-5832;2025-09-25;phishing;phishing;0.81;Faux support technique;975;0
MAIL-5833;2025-09-10;légitime;légitime;0.848;N/A;495;2
MAIL-5834;2025-09-16;phishing;phishing;0.851;Fausse livraison colis;116;1
MAIL-5835;2025-09-17;légitime;légitime;0.802;N/A;224;0
MAIL-5836;2025-09-02;phishing;phishing;0.969;Fausse livraison colis;495;4
MAIL-5837;2025-09-03;légitime;légitime;0.848;N/A;841;0
MAIL-5838;2025-09-02;phishing;phishing;0.805;Fausse livraison colis;1103;2
MAIL-5839;2025-09-05;phishing;phishing;0.946;Usurpation bancaire;1172;0
MAIL-5840;2025-09-11;phishing;phishing;0.85;Usurpation bancaire;662;0
MAIL-5841;2025-09-04;légitime;légitime;0.901;N/A;141;2
MAIL-5842;2025-09-25;légitime;légitime;0.855;N/A;494;0
MAIL-5843;2025-09-14;phishing;phishing;0.843;Fausse facture;1003;2
MAIL-5844;2025-09-06;phishing;phishing;0.879;Faux support technique;656;3
MAIL-5845;2025-09-06;phishing;phishing;0.906;Fausse livraison colis;495;2
MAIL-5846;2025-09-12;phishing;phishing;0.816;Usurpation fournisseur;591;5
MAIL-5847;2025-09-02;légitime;légitime;0.895;N/A;337;0
MAIL-5848;2025-09-20;phishing;phishing;0.856;Fausse livraison colis;1132;1
MAIL-5849;2025-09-22;phishing;phishing;0.887;Fausse facture;1188;5
MAIL-5850;2025-09-10;légitime;légitime;0.801;N/A;336;2
MAIL-5851;2025-09-16;phishing;phishing;0.82;Usurpation fournisseur;377;0
MAIL-5852;2025-09-28;légitime;légitime;0.785;N/A;295;2
MAIL-5853;2025-09-30;phishing;phishing;0.952;Usurpation bancaire;316;2
MAIL-5854;2025-09-25;phishing;légitime;0.621;Fausse facture;1161;2
MAIL-5855;2025-09-16;légitime;légitime;0.792;N/A;889;1
MAIL-5856;2025-09-17;phishing;phishing;0.902;Usurpation fournisseur;845;3
MAIL-5857;2025-09-21;légitime;légitime;0.877;N/A;753;0
MAIL-5858;2025-09-25;légitime;légitime;0.805;N/A;81;0
MAIL-5859;2025-09-24;phishing;phishing;0.872;Phishing RH/paie;247;0
MAIL-5860;2025-09-16;légitime;légitime;0.882;N/A;613;1
MAIL-5861;2025-09-20;légitime;légitime;0.786;N/A;1163;0
MAIL-5862;2025-09-29;légitime;légitime;0.971;N/A;779;2
MAIL-5863;2025-09-17;légitime;légitime;0.858;N/A;1138;1
MAIL-5864;2025-09-30;légitime;légitime;0.982;N/A;345;1
MAIL-5865;2025-09-04;phishing;phishing;0.953;Usurpation fournisseur;508;2
MAIL-5866;2025-09-23;phishing;phishing;0.905;Phishing RH/paie;503;1
MAIL-5867;2025-09-22;légitime;légitime;0.939;N/A;1070;1
MAIL-5868;2025-09-30;légitime;légitime;0.79;N/A;132;1
MAIL-5869;2025-09-04;légitime;légitime;0.975;N/A;948;0
MAIL-5870;2025-09-01;phishing;phishing;0.861;Fausse livraison colis;1018;4
MAIL-5871;2025-09-21;phishing;phishing;0.825;Phishing RH/paie;293;5
MAIL-5872;2025-09-17;légitime;légitime;0.798;N/A;191;2
MAIL-5873;2025-09-15;phishing;phishing;0.803;Usurpation bancaire;1084;3
MAIL-5874;2025-09-21;légitime;phishing;0.764;N/A;1004;1
MAIL-5875;2025-09-02;légitime;légitime;0.874;N/A;391;0
MAIL-5876;2025-09-26;légitime;légitime;0.94;N/A;761;1
MAIL-5877;2025-09-24;phishing;phishing;0.844;Fausse facture;988;3
MAIL-5878;2025-09-10;légitime;légitime;0.781;N/A;1002;2
MAIL-5879;2025-09-16;phishing;phishing;0.821;Usurpation bancaire;889;5
MAIL-5880;2025-09-29;légitime;légitime;0.954;N/A;870;2
MAIL-5881;2025-09-12;légitime;légitime;0.864;N/A;614;2
MAIL-5882;2025-09-28;phishing;phishing;0.835;Phishing RH/paie;543;1
MAIL-5883;2025-09-28;phishing;phishing;0.807;Phishing RH/paie;1169;2
MAIL-5884;2025-09-15;légitime;légitime;0.857;N/A;546;0
MAIL-5885;2025-09-04;phishing;phishing;0.911;Usurpation fournisseur;377;2
MAIL-5886;2025-09-13;phishing;phishing;0.923;Fausse livraison colis;453;4
MAIL-5887;2025-09-25;légitime;légitime;0.942;N/A;734;1
MAIL-5888;2025-09-26;légitime;légitime;0.804;N/A;288;1
MAIL-5889;2025-09-10;phishing;phishing;0.94;Fausse facture;528;1
MAIL-5890;2025-09-25;phishing;phishing;0.94;Phishing RH/paie;433;6
MAIL-5891;2025-09-19;légitime;légitime;0.886;N/A;94;0
MAIL-5892;2025-09-19;phishing;légitime;0.748;Phishing RH/paie;354;1
MAIL-5893;2025-09-15;phishing;phishing;0.867;Usurpation fournisseur;997;4
MAIL-5894;2025-09-25;légitime;phishing;0.637;N/A;333;2
MAIL-5895;2025-09-20;légitime;légitime;0.957;N/A;937;0
MAIL-5896;2025-09-27;légitime;légitime;0.961;N/A;276;2
MAIL-5897;2025-09-27;légitime;légitime;0.803;N/A;842;2
MAIL-5898;2025-09-30;légitime;légitime;0.978;N/A;387;0
MAIL-5899;2025-09-07;légitime;légitime;0.954;N/A;840;1
MAIL-5900;2025-09-28;légitime;légitime;0.88;N/A;393;1
MAIL-5901;2025-09-09;légitime;légitime;0.928;N/A;906;0
MAIL-5902;2025-09-22;légitime;légitime;0.975;N/A;395;2
MAIL-5903;2025-09-18;légitime;légitime;0.829;N/A;535;1
MAIL-5904;2025-09-05;phishing;phishing;0.963;Usurpation bancaire;469;0
MAIL-5905;2025-09-19;légitime;légitime;0.898;N/A;1156;0
MAIL-5906;2025-09-21;phishing;phishing;0.831;Usurpation bancaire;650;6
MAIL-5907;2025-09-10;phishing;phishing;0.982;Fausse facture;812;6
MAIL-5908;2025-09-19;légitime;légitime;0.872;N/A;404;0
MAIL-5909;2025-09-23;phishing;phishing;0.823;Faux support technique;579;3
MAIL-5910;2025-09-06;phishing;phishing;0.907;Faux support technique;914;6
MAIL-5911;2025-09-06;légitime;légitime;0.808;N/A;1075;2
MAIL-5912;2025-09-21;légitime;légitime;0.949;N/A;622;0
MAIL-5913;2025-09-10;légitime;légitime;0.968;N/A;631;1
MAIL-5914;2025-09-14;phishing;phishing;0.932;Fausse facture;1181;5
MAIL-5915;2025-09-21;phishing;phishing;0.94;Phishing RH/paie;579;4
MAIL-5916;2025-09-02;légitime;légitime;0.978;N/A;264;1
MAIL-5917;2025-09-19;phishing;phishing;0.817;Phishing RH/paie;362;6
MAIL-5918;2025-09-01;phishing;phishing;0.967;Fausse livraison colis;512;5
MAIL-5919;2025-09-10;phishing;phishing;0.866;Faux support technique;883;0
MAIL-5920;2025-09-11;légitime;légitime;0.901;N/A;243;0
MAIL-5921;2025-09-27;phishing;phishing;0.936;Fausse livraison colis;449;2
MAIL-5922;2025-09-23;légitime;légitime;0.912;N/A;784;2
MAIL-5923;2025-09-07;phishing;phishing;0.93;Usurpation bancaire;860;1
MAIL-5924;2025-09-18;phishing;phishing;0.809;Fausse facture;849;1
MAIL-5925;2025-09-02;légitime;légitime;0.825;N/A;612;0
MAIL-5926;2025-09-05;légitime;légitime;0.967;N/A;510;0
MAIL-5927;2025-09-06;légitime;légitime;0.812;N/A;558;0
MAIL-5928;2025-09-19;légitime;légitime;0.913;N/A;134;2
MAIL-5929;2025-09-04;phishing;phishing;0.986;Usurpation bancaire;315;3
MAIL-5930;2025-09-02;phishing;phishing;0.952;Fausse livraison colis;1090;5
MAIL-5931;2025-09-27;légitime;légitime;0.959;N/A;987;0
MAIL-5932;2025-09-10;légitime;légitime;0.938;N/A;1113;0
MAIL-5933;2025-09-09;phishing;légitime;0.735;Fausse facture;1061;3
MAIL-5934;2025-09-28;phishing;phishing;0.824;Fausse livraison colis;324;3
MAIL-5935;2025-09-03;légitime;légitime;0.887;N/A;1198;2
MAIL-5936;2025-09-14;phishing;phishing;0.968;Phishing RH/paie;1007;2
MAIL-5937;2025-09-25;phishing;phishing;0.92;Usurpation fournisseur;861;0
MAIL-5938;2025-09-19;légitime;légitime;0.796;N/A;146;2
MAIL-5939;2025-09-11;légitime;légitime;0.906;N/A;691;0
MAIL-5940;2025-09-15;légitime;légitime;0.853;N/A;991;2
MAIL-5941;2025-09-20;phishing;phishing;0.971;Fausse facture;357;0
MAIL-5942;2025-09-03;légitime;légitime;0.811;N/A;250;2
MAIL-5943;2025-09-19;phishing;phishing;0.858;Usurpation bancaire;722;4
MAIL-5944;2025-09-25;légitime;légitime;0.984;N/A;481;0
MAIL-5945;2025-09-16;phishing;phishing;0.809;Faux support technique;194;6
MAIL-5946;2025-09-07;phishing;phishing;0.896;Usurpation bancaire;1186;5
MAIL-5947;2025-09-27;phishing;phishing;0.95;Phishing RH/paie;993;0
MAIL-5948;2025-09-21;légitime;légitime;0.831;N/A;900;0
MAIL-5949;2025-09-06;phishing;phishing;0.882;Faux support technique;535;3
MAIL-5950;2025-09-09;légitime;légitime;0.838;N/A;1069;0
MAIL-5951;2025-09-28;phishing;phishing;0.817;Fausse facture;569;2
MAIL-5952;2025-09-15;phishing;phishing;0.966;Usurpation bancaire;233;6
MAIL-5953;2025-09-25;phishing;phishing;0.89;Usurpation bancaire;751;0
MAIL-5954;2025-09-18;légitime;légitime;0.981;N/A;813;1
MAIL-5955;2025-09-14;légitime;légitime;0.986;N/A;1098;0
MAIL-5956;2025-09-03;légitime;légitime;0.893;N/A;840;1
MAIL-5957;2025-09-05;phishing;phishing;0.889;Usurpation bancaire;1005;0
MAIL-5958;2025-09-26;phishing;phishing;0.981;Fausse facture;968;4
MAIL-5959;2025-09-22;phishing;phishing;0.9;Fausse facture;550;5
MAIL-5960;2025-09-26;phishing;phishing;0.976;Faux support technique;409;4
MAIL-5961;2025-09-08;légitime;légitime;0.866;N/A;373;0
MAIL-5962;2025-09-09;légitime;légitime;0.924;N/A;993;0
MAIL-5963;2025-09-22;légitime;légitime;0.849;N/A;592;1
MAIL-5964;2025-09-19;légitime;légitime;0.96;N/A;830;1
MAIL-5965;2025-09-20;légitime;légitime;0.788;N/A;1085;1
MAIL-5966;2025-09-26;phishing;phishing;0.96;Faux support technique;754;3
MAIL-5967;2025-09-05;phishing;phishing;0.963;Phishing RH/paie;431;1
MAIL-5968;2025-09-05;légitime;légitime;0.876;N/A;1044;1
MAIL-5969;2025-09-16;phishing;phishing;0.911;Phishing RH/paie;371;2
MAIL-5970;2025-09-12;phishing;phishing;0.898;Usurpation bancaire;733;6
MAIL-5971;2025-09-10;phishing;phishing;0.948;Fausse facture;866;3
MAIL-5972;2025-09-16;phishing;phishing;0.865;Usurpation fournisseur;1090;6
MAIL-5973;2025-09-08;légitime;légitime;0.93;N/A;664;1
MAIL-5974;2025-09-23;phishing;phishing;0.95;Faux support technique;1105;2
MAIL-5975;2025-09-23;phishing;phishing;0.984;Fausse livraison colis;638;1
MAIL-5976;2025-09-18;légitime;légitime;0.977;N/A;1071;0
MAIL-5977;2025-09-26;légitime;légitime;0.835;N/A;857;0
MAIL-5978;2025-09-08;légitime;légitime;0.793;N/A;542;2
MAIL-5979;2025-09-22;phishing;phishing;0.932;Fausse facture;1079;2
MAIL-5980;2025-09-08;phishing;phishing;0.922;Usurpation bancaire;623;1
MAIL-5981;2025-09-12;légitime;légitime;0.894;N/A;858;1
MAIL-5982;2025-09-26;phishing;phishing;0.914;Usurpation fournisseur;635;3
MAIL-5983;2025-09-08;phishing;phishing;0.945;Usurpation bancaire;627;6
MAIL-5984;2025-09-10;légitime;légitime;0.814;N/A;547;2
MAIL-5985;2025-09-12;légitime;légitime;0.891;N/A;949;2
MAIL-5986;2025-09-26;phishing;phishing;0.845;Faux support technique;750;3
MAIL-5987;2025-09-30;phishing;phishing;0.821;Phishing RH/paie;879;1
MAIL-5988;2025-09-30;phishing;phishing;0.885;Usurpation bancaire;1097;0
MAIL-5989;2025-09-08;phishing;phishing;0.92;Fausse facture;254;0
MAIL-5990;2025-09-08;légitime;légitime;0.873;N/A;1076;1
MAIL-5991;2025-09-15;phishing;phishing;0.946;Fausse livraison colis;1118;5
MAIL-5992;2025-09-03;légitime;légitime;0.835;N/A;723;1
MAIL-5993;2025-09-14;légitime;légitime;0.844;N/A;364;2
MAIL-5994;2025-09-15;légitime;légitime;0.956;N/A;1016;1
MAIL-5995;2025-09-01;légitime;légitime;0.961;N/A;1099;2
MAIL-5996;2025-09-22;phishing;phishing;0.935;Phishing RH/paie;714;3
MAIL-5997;2025-09-14;légitime;légitime;0.831;N/A;132;2
MAIL-5998;2025-09-06;phishing;phishing;0.825;Fausse facture;993;4
MAIL-5999;2025-09-04;légitime;légitime;0.788;N/A;949;2
MAIL-6000;2025-09-04;légitime;légitime;0.852;N/A;179;0
MAIL-6001;2025-09-25;légitime;légitime;0.901;N/A;223;0
MAIL-6002;2025-09-10;légitime;légitime;0.96;N/A;235;0
MAIL-6003;2025-09-01;légitime;légitime;0.83;N/A;322;2
MAIL-6004;2025-09-12;légitime;phishing;0.623;N/A;1081;1
MAIL-6005;2025-09-02;légitime;légitime;0.987;N/A;985;1
MAIL-6006;2025-09-07;légitime;légitime;0.969;N/A;1035;0
MAIL-6007;2025-09-23;légitime;légitime;0.971;N/A;295;0
MAIL-6008;2025-09-23;légitime;légitime;0.89;N/A;1200;0
MAIL-6009;2025-09-02;phishing;phishing;0.969;Fausse facture;653;1
MAIL-6010;2025-09-13;légitime;phishing;0.772;N/A;802;2
MAIL-6011;2025-09-18;légitime;légitime;0.986;N/A;711;0
MAIL-6012;2025-09-29;phishing;phishing;0.948;Phishing RH/paie;906;6
MAIL-6013;2025-09-10;légitime;légitime;0.905;N/A;244;2
MAIL-6014;2025-09-11;phishing;phishing;0.914;Usurpation fournisseur;484;4
MAIL-6015;2025-09-10;phishing;phishing;0.93;Usurpation bancaire;1116;6
MAIL-6016;2025-09-12;légitime;légitime;0.878;N/A;1160;2
MAIL-6017;2025-09-18;légitime;légitime;0.879;N/A;767;0
MAIL-6018;2025-09-12;légitime;légitime;0.79;N/A;964;2
MAIL-6019;2025-09-24;légitime;légitime;0.826;N/A;187;0
MAIL-6020;2025-09-27;phishing;phishing;0.841;Faux support technique;1129;1
MAIL-6021;2025-09-21;légitime;phishing;0.777;N/A;385;2
MAIL-6022;2025-09-05;phishing;phishing;0.889;Usurpation bancaire;1129;4
MAIL-6023;2025-09-16;légitime;légitime;0.865;N/A;854;2
MAIL-6024;2025-09-19;phishing;phishing;0.862;Phishing RH/paie;296;4
MAIL-6025;2025-09-10;légitime;légitime;0.931;N/A;457;0
MAIL-6026;2025-09-30;légitime;légitime;0.887;N/A;719;0
MAIL-6027;2025-09-19;légitime;légitime;0.81;N/A;1068;1
MAIL-6028;2025-09-30;phishing;phishing;0.807;Usurpation bancaire;440;0
MAIL-6029;2025-09-22;légitime;légitime;0.874;N/A;111;2
MAIL-6030;2025-09-27;légitime;légitime;0.814;N/A;355;2
MAIL-6031;2025-09-01;phishing;phishing;0.837;Fausse livraison colis;661;0
MAIL-6032;2025-09-17;légitime;légitime;0.945;N/A;218;1
MAIL-6033;2025-09-26;légitime;légitime;0.794;N/A;160;0
MAIL-6034;2025-09-27;légitime;légitime;0.898;N/A;572;1
MAIL-6035;2025-09-07;phishing;phishing;0.824;Faux support technique;621;4
MAIL-6036;2025-09-03;légitime;légitime;0.945;N/A;874;0
MAIL-6037;2025-09-20;phishing;phishing;0.899;Usurpation bancaire;249;2
MAIL-6038;2025-09-06;phishing;phishing;0.966;Fausse livraison colis;256;6
MAIL-6039;2025-09-12;légitime;légitime;0.82;N/A;958;1
MAIL-6040;2025-09-10;légitime;légitime;0.841;N/A;920;2
MAIL-6041;2025-09-09;légitime;légitime;0.926;N/A;1056;0
MAIL-6042;2025-09-03;phishing;phishing;0.848;Faux support technique;298;5
MAIL-6043;2025-09-28;légitime;légitime;0.928;N/A;850;2
MAIL-6044;2025-09-15;légitime;légitime;0.924;N/A;594;2
MAIL-6045;2025-09-23;légitime;légitime;0.983;N/A;498;1
MAIL-6046;2025-09-05;phishing;phishing;0.879;Usurpation fournisseur;86;3
MAIL-6047;2025-09-13;phishing;phishing;0.871;Usurpation fournisseur;911;4
MAIL-6048;2025-09-16;légitime;légitime;0.882;N/A;562;1
MAIL-6049;2025-09-30;légitime;phishing;0.555;N/A;924;1
MAIL-6050;2025-09-06;légitime;légitime;0.978;N/A;114;0
MAIL-6051;2025-09-01;phishing;phishing;0.915;Fausse facture;928;3
MAIL-6052;2025-09-13;légitime;légitime;0.784;N/A;696;0
MAIL-6053;2025-09-26;phishing;phishing;0.877;Usurpation bancaire;660;6
MAIL-6054;2025-09-17;phishing;phishing;0.838;Usurpation fournisseur;648;5
MAIL-6055;2025-09-30;légitime;légitime;0.837;N/A;1061;1
MAIL-6056;2025-09-16;phishing;phishing;0.961;Phishing RH/paie;545;2
MAIL-6057;2025-09-17;légitime;légitime;0.962;N/A;805;1
MAIL-6058;2025-09-23;légitime;légitime;0.891;N/A;678;0
MAIL-6059;2025-09-22;légitime;légitime;0.811;N/A;1080;0
MAIL-6060;2025-09-07;légitime;légitime;0.952;N/A;351;2
MAIL-6061;2025-09-14;phishing;phishing;0.965;Phishing RH/paie;1143;0
MAIL-6062;2025-09-08;phishing;phishing;0.891;Faux support technique;276;6
MAIL-6063;2025-09-08;légitime;légitime;0.903;N/A;91;0
MAIL-6064;2025-09-26;légitime;légitime;0.821;N/A;884;2
MAIL-6065;2025-09-25;légitime;légitime;0.849;N/A;482;0
MAIL-6066;2025-09-19;légitime;légitime;0.93;N/A;665;1
MAIL-6067;2025-09-05;légitime;légitime;0.902;N/A;363;2
MAIL-6068;2025-09-19;phishing;phishing;0.837;Fausse livraison colis;245;2
MAIL-6069;2025-09-07;légitime;légitime;0.915;N/A;595;0
MAIL-6070;2025-09-09;légitime;légitime;0.891;N/A;336;2
MAIL-6071;2025-09-06;légitime;légitime;0.878;N/A;754;2
MAIL-6072;2025-09-11;légitime;légitime;0.792;N/A;384;0
MAIL-6073;2025-09-06;phishing;phishing;0.846;Faux support technique;1031;6
MAIL-6074;2025-09-06;phishing;phishing;0.927;Usurpation fournisseur;637;0
MAIL-6075;2025-09-06;phishing;phishing;0.803;Phishing RH/paie;531;3
MAIL-6076;2025-09-26;légitime;légitime;0.849;N/A;754;0
MAIL-6077;2025-09-11;légitime;légitime;0.934;N/A;204;2
MAIL-6078;2025-09-26;phishing;phishing;0.801;Faux support technique;203;4
MAIL-6079;2025-09-02;légitime;légitime;0.888;N/A;640;1
MAIL-6080;2025-09-12;phishing;phishing;0.802;Fausse livraison colis;734;5
MAIL-6081;2025-09-20;phishing;phishing;0.947;Faux support technique;1056;2
MAIL-6082;2025-09-26;phishing;phishing;0.866;Fausse livraison colis;1113;0
MAIL-6083;2025-09-22;phishing;légitime;0.564;Faux support technique;522;1
MAIL-6084;2025-09-06;phishing;phishing;0.803;Faux support technique;665;4
MAIL-6085;2025-09-07;phishing;phishing;0.826;Fausse facture;84;0
MAIL-6086;2025-09-06;légitime;légitime;0.839;N/A;987;1
MAIL-6087;2025-09-17;légitime;légitime;0.959;N/A;500;2
MAIL-6088;2025-09-10;légitime;légitime;0.794;N/A;1146;0
MAIL-6089;2025-09-04;légitime;légitime;0.906;N/A;978;1
MAIL-6090;2025-09-03;légitime;légitime;0.806;N/A;453;0
MAIL-6091;2025-09-15;phishing;phishing;0.978;Phishing RH/paie;103;2
MAIL-6092;2025-09-26;légitime;légitime;0.798;N/A;119;0
MAIL-6093;2025-09-08;légitime;légitime;0.872;N/A;535;2
MAIL-6094;2025-09-29;légitime;légitime;0.878;N/A;286;1
MAIL-6095;2025-09-13;légitime;légitime;0.971;N/A;550;2
MAIL-6096;2025-09-11;légitime;légitime;0.948;N/A;772;2
MAIL-6097;2025-09-08;légitime;légitime;0.834;N/A;975;0
MAIL-6098;2025-09-02;phishing;phishing;0.859;Faux support technique;905;4
MAIL-6099;2025-09-24;légitime;légitime;0.881;N/A;814;2
MAIL-6100;2025-09-06;phishing;phishing;0.875;Phishing RH/paie;379;1
MAIL-6101;2025-09-29;légitime;légitime;0.838;N/A;1052;0
MAIL-6102;2025-09-07;phishing;phishing;0.93;Phishing RH/paie;728;4
MAIL-6103;2025-09-06;phishing;phishing;0.804;Usurpation bancaire;523;6
MAIL-6104;2025-09-06;légitime;légitime;0.838;N/A;395;1
MAIL-6105;2025-09-18;phishing;phishing;0.981;Faux support technique;1048;6
MAIL-6106;2025-09-23;phishing;phishing;0.802;Usurpation bancaire;292;2
MAIL-6107;2025-09-23;légitime;légitime;0.835;N/A;1173;0
MAIL-6108;2025-09-06;phishing;phishing;0.94;Fausse facture;907;3
MAIL-6109;2025-09-16;phishing;légitime;0.716;Usurpation bancaire;921;1
MAIL-6110;2025-09-26;phishing;phishing;0.924;Usurpation fournisseur;901;6
MAIL-6111;2025-09-01;légitime;légitime;0.814;N/A;142;0
MAIL-6112;2025-09-02;phishing;phishing;0.93;Phishing RH/paie;1150;2
MAIL-6113;2025-09-27;phishing;phishing;0.87;Phishing RH/paie;248;6
MAIL-6114;2025-09-03;légitime;légitime;0.802;N/A;412;1
MAIL-6115;2025-09-18;phishing;phishing;0.829;Usurpation bancaire;314;3
